Count  Overhead File                                                   Line Function
 =====  ======== ====                                                   ==== ========
     1         0 @GfPEPS\src\lib\translate.jl                            231 translate(X::Matrix{Float64}, Nf::Int64, Λ::Int64, lattice::InfiniteRectLattice; tol::Float64)
     1         0 @TensorKit\src\tensors\tensor.jl                        320 TensorKit.TensorMap(data::Array{ComplexF64, 5}, V::TensorKit.TensorMapSpace{TensorKit.GradedSpace{TensorKitSectors.FermionParity, Tuple{Int64, Int64}}, 5, 0})
     1         0 @TensorKit\src\tensors\tensor.jl                        350 TensorKit.TensorMap(data::Array{ComplexF64, 5}, V::TensorKit.TensorMapSpace{TensorKit.GradedSpace{TensorKitSectors.FermionParity, Tuple{Int64, Int64}}, 5, 0}; tol::Float64)
     1         0 @TensorKit\src\tensors\abstracttensor.jl                622 convert(::Type{Array}, t::TensorKit.Tensor{ComplexF64, TensorKit.GradedSpace{TensorKitSectors.FermionParity, Tuple{Int64, Int64}}, 5, Vector{ComplexF64}})
     1         0 @TensorKit\src\fusiontrees\fusiontrees.jl               221 convert(A::Type{Array}, ::Tuple{TensorKit.FusionTree{TensorKitSectors.FermionParity, 5, 3, 4}, TensorKit.FusionTree{TensorKitSectors.FermionParity, 0, 0, 0}})
     1         0 @TensorKit\src\fusiontrees\fusiontrees.jl               199 convert(A::Type{Array}, f::TensorKit.FusionTree{TensorKitSectors.FermionParity, 5, 3, 4})
     1         0 @TensorKit\src\fusiontrees\fusiontrees.jl               182 convert(A::Type{Array}, f::TensorKit.FusionTree{TensorKitSectors.FermionParity, 2, 0, 1})
     1         0 @TensorKitSectors\src\fermions.jl                        57 fusiontensor(a::TensorKitSectors.FermionParity, b::TensorKitSectors.FermionParity, c::TensorKitSectors.FermionParity)
     1         0 @Base\logging.jl                                        367 macro expansion
     1         1 @VSCodeServer\src\progress.jl                            29 handle_message(j::VSCodeServer.VSCodeLogger, level::Base.CoreLogging.LogLevel, message::String, _module::Module, group::Symbol, id::Symbol, file::String, line::Int64; kwargs::Base.Pairs…
     1         0 @Base\threadingconstructs.jl                            154 (::Base.Threads.var"#1#2"{GfPEPS.var"#411#threadsfor_fun#106"{GfPEPS.var"#411#threadsfor_fun#99#107"{Int64, Int64, Array{ComplexF64, 5}, Dict{Vector{Int64}, Int64}, Dict{Vector{Int64}, …
     1         0 @Base\threadingconstructs.jl                            182 #411#threadsfor_fun
     1         0 @Base\threadingconstructs.jl                            215 (::GfPEPS.var"#411#threadsfor_fun#106"{GfPEPS.var"#411#threadsfor_fun#99#107"{Int64, Int64, Array{ComplexF64, 5}, Dict{Vector{Int64}, Int64}, Dict{Vector{Int64}, Int64}, Matrix{ComplexF…
     1         0 @GfPEPS\src\lib\translate.jl                            222 macro expansion
     1         0 @GfPEPS\src\lib\translate.jl                            165 translate(X::Matrix{Float64}, Nf::Int64, Λ::Int64, lattice::InfiniteRectLattice; tol::Float64)
     1         0 @GfPEPS\src\lib\bogoliubov.jl                            18 bogoliubov(H::LinearAlgebra.Hermitian{ComplexF64, Matrix{ComplexF64}})
     1         0 @LinearAlgebra\src\symmetriceigen.jl                     11 eigen
     1         0 @LinearAlgebra\src\symmetriceigen.jl                     13 #eigen#193
     1         0 @LinearAlgebra\src\symmetriceigen.jl                      8 eigen!
     1         0 @LinearAlgebra\src\symmetriceigen.jl                      8 #eigen!#192
     1         1 @LinearAlgebra\src\lapack.jl                           5439 syevr!(jobz::Char, range::Char, uplo::Char, A::Matrix{ComplexF64}, vl::Float64, vu::Float64, il::Int64, iu::Int64, abstol::Float64)
